code,name,time_key,open,close,high,low,pe_ratio,turnover_rate,volume,turnover,change_rate,last_close
HK.00027,GALAXY ENT,2023-09-13 00:00:00,48.65,48.7,49.45,48.35,0.0,0.00087,3808557,191390503.0,0.2057613168724309,48.6
HK.00027,GALAXY ENT,2023-09-14 00:00:00,48.75,48.75,49.05,48.4,0.0,0.00071,3116566,156532305.0,0.10266940451744795,48.7
HK.00027,GALAXY ENT,2023-09-15 00:00:00,48.85,49.0,49.5,48.3,0.0,0.00092,4009201,202993410.0,0.5128205128205128,48.75
HK.00027,GALAXY ENT,2023-09-18 00:00:00,48.85,49.9,50.15,47.9,0.0,0.00127,5551741,282996976.0,1.8367346938775482,49.0
HK.00027,GALAXY ENT,2023-09-19 00:00:00,50.35,49.8,50.35,49.6,0.0,0.00073,3171094,162857566.0,-0.20040080160320925,49.9
HK.00027,GALAXY ENT,2023-09-20 00:00:00,49.6,50.05,50.45,49.6,0.0,0.00092,4020592,207553780.0,0.5020080321285141,49.8
HK.00027,GALAXY ENT,2023-09-21 00:00:00,50.25,49.55,50.4,49.25,0.0,0.00117,5118987,261911307.0,-0.999000999000999,50.05
HK.00027,GALAXY ENT,2023-09-22 00:00:00,49.25,50.0,50.0,49.05,0.0,0.00109,4762573,243615733.0,0.9081735620585325,49.55
HK.00027,GALAXY ENT,2023-09-25 00:00:00,49.8,47.25,50.0,46.8,0.0,0.00309,13507149,660592843.0,-5.5,50.0
HK.00027,GALAXY ENT,2023-09-26 00:00:00,47.5,47.0,47.9,46.7,0.0,0.0015,6559381,318155744.0,-0.5291005291005291,47.25
HK.00027,GALAXY ENT,2023-09-27 00:00:00,46.4,46.7,47.15,46.4,0.0,0.00154,6729427,323036182.0,-0.6382978723404196,47.0
HK.00027,GALAXY ENT,2023-09-28 00:00:00,46.55,43.95,46.65,43.9,0.0,0.00457,19974455,916869649.0,-5.88865096359743,46.7
HK.00027,GALAXY ENT,2023-09-29 00:00:00,44.1,45.85,46.35,43.95,0.0,0.00274,11968425,560212359.0,4.323094425483501,43.95
HK.00027,GALAXY ENT,2023-10-03 00:00:00,45.1,45.15,45.35,44.3,0.0,0.0024,10490828,484920619.0,-1.5267175572519145,45.85
HK.00027,GALAXY ENT,2023-10-04 00:00:00,45.0,43.95,45.05,43.75,0.0,0.00121,5309673,241121789.0,-2.6578073089700904,45.15
HK.00027,GALAXY ENT,2023-10-05 00:00:00,44.05,44.3,45.05,44.05,0.0,0.00109,4765868,217961455.0,0.7963594994311589,43.95
HK.00027,GALAXY ENT,2023-10-06 00:00:00,44.65,44.8,45.15,44.65,0.0,0.0009,3949287,182452802.0,1.1286681715575622,44.3
HK.00027,GALAXY ENT,2023-10-09 00:00:00,44.7,44.05,44.75,43.75,0.0,0.00158,6923067,313686706.0,-1.6741071428571428,44.8
HK.00027,GALAXY ENT,2023-10-10 00:00:00,44.7,44.85,45.25,44.45,0.0,0.0014,6124948,283086829.0,1.8161180476731085,44.05
HK.00027,GALAXY ENT,2023-10-11 00:00:00,45.45,44.5,45.45,44.4,0.0,0.00105,4601622,211971561.0,-0.7803790412486096,44.85
HK.00027,GALAXY ENT,2023-10-12 00:00:00,44.85,44.95,45.1,44.25,0.0,0.00166,7279315,335056581.0,1.0112359550561862,44.5
HK.00027,GALAXY ENT,2023-10-13 00:00:00,44.25,43.85,44.65,43.45,0.0,0.0012,5265449,237797860.0,-2.447163515016688,44.95
HK.00027,GALAXY ENT,2023-10-16 00:00:00,43.7,42.5,44.0,41.95,0.0,0.00169,7397095,323502095.0,-3.078677309007985,43.85
HK.00027,GALAXY ENT,2023-10-17 00:00:00,42.85,42.5,43.2,41.9,0.0,0.00179,7831413,342654917.0,0.0,42.5
HK.00027,GALAXY ENT,2023-10-18 00:00:00,42.4,42.2,42.45,41.65,0.0,0.00208,9078243,393604324.0,-0.7058823529411699,42.5
HK.00027,GALAXY ENT,2023-10-19 00:00:00,41.7,42.0,42.5,41.5,0.0,0.00208,9089720,394362269.0,-0.47393364928910625,42.2
HK.00027,GALAXY ENT,2023-10-20 00:00:00,41.6,42.4,42.5,41.45,0.0,0.00151,6586274,286158257.0,0.952380952380949,42.0
HK.00027,GALAXY ENT,2023-10-24 00:00:00,42.35,42.15,43.2,40.95,0.0,0.00129,5621976,244393306.0,-0.589622641509434,42.4
HK.00027,GALAXY ENT,2023-10-25 00:00:00,43.05,42.65,43.4,42.45,0.0,0.00121,5279498,233568976.0,1.1862396204033214,42.15
HK.00027,GALAXY ENT,2023-10-26 00:00:00,42.7,42.8,43.1,42.35,0.0,0.00115,5044589,222117177.0,0.35169988276670244,42.65
HK.00027,GALAXY ENT,2023-10-27 00:00:00,43.35,42.7,43.35,42.15,0.0,0.00128,5586921,245770312.0,-0.23364485981307087,42.8
HK.00027,GALAXY ENT,2023-10-30 00:00:00,42.1,43.0,43.25,42.1,0.0,0.00128,5599418,247359839.0,0.7025761124121713,42.7
HK.00027,GALAXY ENT,2023-10-31 00:00:00,43.0,42.55,43.2,42.05,0.0,0.00148,6485090,284641910.0,-1.0465116279069833,43.0
HK.00027,GALAXY ENT,2023-11-01 00:00:00,42.85,42.7,43.5,42.4,0.0,0.00122,5354299,236974672.0,0.3525264394829746,42.55
HK.00027,GALAXY ENT,2023-11-02 00:00:00,43.2,42.3,43.35,42.2,0.0,0.0007,3080165,134955972.0,-0.9367681498829171,42.7
HK.00027,GALAXY ENT,2023-11-03 00:00:00,42.5,43.5,43.6,42.25,0.0,0.00087,3815016,169671369.0,2.8368794326241202,42.3
HK.00027,GALAXY ENT,2023-11-06 00:00:00,44.0,44.7,45.3,43.85,0.0,0.00162,7094553,326589112.0,2.758620689655179,43.5
HK.00027,GALAXY ENT,2023-11-07 00:00:00,44.7,43.65,44.7,43.45,0.0,0.00182,7950953,358846342.0,-2.3489932885906133,44.7
HK.00027,GALAXY ENT,2023-11-08 00:00:00,43.75,43.55,43.85,43.15,0.0,0.00126,5530158,248012880.0,-0.22909507445590246,43.65
HK.00027,GALAXY ENT,2023-11-09 00:00:00,43.7,42.8,43.75,42.8,0.0,0.00306,13380207,596345694.0,-1.7221584385763493,43.55
HK.00027,GALAXY ENT,2023-11-10 00:00:00,42.6,39.95,42.75,39.05,0.0,0.0043,18788929,780175036.0,-6.6588785046728844,42.8
HK.00027,GALAXY ENT,2023-11-13 00:00:00,39.7,40.05,40.65,39.2,0.0,0.00218,9545292,391939038.0,0.2503128911138781,39.95
HK.00027,GALAXY ENT,2023-11-14 00:00:00,40.35,40.25,40.6,39.5,0.0,0.00123,5371768,222628086.0,0.4993757802746638,40.05
HK.00027,GALAXY ENT,2023-11-15 00:00:00,41.5,41.9,42.1,41.15,0.0,0.00157,6845176,294759211.0,4.099378881987574,40.25
HK.00027,GALAXY ENT,2023-11-16 00:00:00,42.3,41.6,42.3,41.25,0.0,0.00156,6803356,291552139.0,-0.7159904534606137,41.9
HK.00027,GALAXY ENT,2023-11-17 00:00:00,41.5,41.8,41.95,41.2,0.0,0.00112,4906639,211062881.0,0.48076923076922046,41.6
HK.00027,GALAXY ENT,2023-11-20 00:00:00,41.7,42.6,43.2,41.55,0.0,0.00146,6398873,281229349.0,1.9138755980861348,41.8
HK.00027,GALAXY ENT,2023-11-21 00:00:00,42.7,42.9,43.6,42.7,0.0,0.00175,7634191,339454042.0,0.7042253521126693,42.6
HK.00027,GALAXY ENT,2023-11-22 00:00:00,42.9,42.5,43.15,42.45,0.0,0.00079,3470102,152642344.0,-0.9324009324009291,42.9
HK.00027,GALAXY ENT,2023-11-23 00:00:00,42.45,42.45,42.5,41.8,0.0,0.00094,4101984,178582780.0,-0.11764705882352272,42.5
HK.00027,GALAXY ENT,2023-11-24 00:00:00,42.05,42.05,42.5,41.75,0.0,0.0008,3511265,152330150.0,-0.9422850412249838,42.45
HK.00027,GALAXY ENT,2023-11-27 00:00:00,42.05,41.7,42.3,41.25,0.0,0.00084,3683874,158311043.0,-0.8323424494649092,42.05
HK.00027,GALAXY ENT,2023-11-28 00:00:00,42.05,41.0,42.05,40.9,0.0,0.00085,3726248,158785353.0,-1.6786570743405342,41.7
HK.00027,GALAXY ENT,2023-11-29 00:00:00,41.15,38.95,41.15,38.7,0.0,0.00308,13448860,543688541.0,-4.999999999999993,41.0
HK.00027,GALAXY ENT,2023-11-30 00:00:00,38.95,39.1,39.2,38.2,0.0,0.00275,12008999,482276635.0,0.38510911424903355,38.95
HK.00027,GALAXY ENT,2023-12-01 00:00:00,39.2,39.6,40.2,38.8,0.0,0.00189,8245230,336646741.0,1.278772378516624,39.1
HK.00027,GALAXY ENT,2023-12-04 00:00:00,39.0,39.45,40.15,39.0,0.0,0.00195,8510396,347353951.0,-0.3787878787878752,39.6
HK.00027,GALAXY ENT,2023-12-05 00:00:00,39.4,40.0,40.25,39.0,0.0,0.00195,8512820,350356007.0,1.3941698352344667,39.45
HK.00027,GALAXY ENT,2023-12-06 00:00:00,40.15,39.7,40.75,39.65,0.0,0.00204,8932370,368605476.0,-0.7499999999999929,40.0
HK.00027,GALAXY ENT,2023-12-07 00:00:00,39.7,39.75,40.05,38.65,0.0,0.00219,9564530,388349149.0,0.12594458438286438,39.7
HK.00027,GALAXY ENT,2023-12-08 00:00:00,39.85,40.6,40.7,39.6,0.0,0.00152,6656406,277419063.0,2.1383647798742174,39.75
HK.00027,GALAXY ENT,2023-12-11 00:00:00,38.8,39.85,40.15,38.8,0.0,0.00157,6881860,282327126.0,-1.8472906403940885,40.6
HK.00027,GALAXY ENT,2023-12-12 00:00:00,40.25,39.85,40.35,39.4,0.0,0.00139,6068978,250324563.0,0.0,39.85
HK.00027,GALAXY ENT,2023-12-13 00:00:00,39.75,39.9,40.1,39.6,0.0,0.00067,2948219,121342615.0,0.125470514429102,39.85
HK.00027,GALAXY ENT,2023-12-14 00:00:00,41.0,40.25,41.0,39.95,0.0,0.00173,7587564,316815130.0,0.877192982456144,39.9
HK.00027,GALAXY ENT,2023-12-15 00:00:00,40.65,41.2,41.9,40.65,0.0,0.00209,9149143,389951742.0,2.360248447204976,40.25
HK.00027,GALAXY ENT,2023-12-18 00:00:00,41.0,40.7,41.4,40.35,0.0,0.00119,5216557,220068582.0,-1.2135922330097086,41.2
HK.00027,GALAXY ENT,2023-12-19 00:00:00,40.7,40.8,41.15,40.1,0.0,0.00088,3849862,161124242.0,0.24570024570023172,40.7
HK.00027,GALAXY ENT,2023-12-20 00:00:00,41.4,41.55,41.8,40.9,0.0,0.0012,5266535,225353911.0,1.8382352941176472,40.8
HK.00027,GALAXY ENT,2023-12-21 00:00:00,40.8,41.2,41.2,40.0,0.0,0.00186,8129188,342857758.0,-0.8423586040914425,41.55
HK.00027,GALAXY ENT,2023-12-22 00:00:00,41.7,41.15,42.05,40.9,0.0,0.00266,11637967,496482558.0,-0.1213592233009812,41.2
HK.00027,GALAXY ENT,2023-12-27 00:00:00,41.15,41.0,41.2,40.65,0.0,0.00103,4483723,189351931.0,-0.36452004860266973,41.15
HK.00027,GALAXY ENT,2023-12-28 00:00:00,41.2,42.45,42.65,40.5,0.0,0.00168,7352222,319563700.0,3.5365853658536652,41.0
HK.00027,GALAXY ENT,2023-12-29 00:00:00,42.25,42.45,43.05,42.2,0.0,0.00064,2788186,122137660.0,0.0,42.45
HK.00027,GALAXY ENT,2024-01-02 00:00:00,43.55,43.15,43.85,42.55,0.0,0.00158,6918549,307650975.0,1.6489988221436884,42.45
HK.00027,GALAXY ENT,2024-01-03 00:00:00,42.85,42.9,43.15,42.55,0.0,0.00112,4895107,216243481.0,-0.5793742757821553,43.15
HK.00027,GALAXY ENT,2024-01-04 00:00:00,43.25,42.8,43.25,42.7,0.0,0.00109,4770536,210912491.0,-0.23310023310023645,42.9
HK.00027,GALAXY ENT,2024-01-05 00:00:00,42.8,41.55,43.1,41.45,0.0,0.00174,7600175,328853234.0,-2.9205607476635516,42.8
HK.00027,GALAXY ENT,2024-01-08 00:00:00,41.45,40.15,42.4,39.95,0.0,0.00192,8410316,351109309.0,-3.3694344163658214,41.55
HK.00027,GALAXY ENT,2024-01-09 00:00:00,40.1,39.75,40.15,39.1,0.0,0.00319,13952871,570640453.0,-0.9962640099626366,40.15
HK.00027,GALAXY ENT,2024-01-10 00:00:00,39.35,39.25,39.9,38.9,0.0,0.00114,5005052,203705413.0,-1.257861635220126,39.75
HK.00027,GALAXY ENT,2024-01-11 00:00:00,39.25,39.65,40.2,38.95,0.0,0.0019,8304571,339147701.0,1.0191082802547733,39.25
HK.00027,GALAXY ENT,2024-01-12 00:00:00,39.65,39.25,40.2,39.05,0.0,0.00111,4843750,197505433.0,-1.0088272383354315,39.65
HK.00027,GALAXY ENT,2024-01-15 00:00:00,39.25,38.7,39.25,38.4,0.0,0.00146,6403705,256201678.0,-1.4012738853503113,39.25
HK.00027,GALAXY ENT,2024-01-16 00:00:00,38.5,38.6,38.85,38.2,0.0,0.00151,6595073,262710262.0,-0.2583979328165411,38.7
HK.00027,GALAXY ENT,2024-01-17 00:00:00,38.6,37.5,38.7,37.3,0.0,0.00284,12423545,485952965.0,-2.8497409326424905,38.6
HK.00027,GALAXY ENT,2024-01-18 00:00:00,37.5,38.45,38.6,37.45,0.0,0.00192,8387878,331282477.0,2.5333333333333408,37.5
HK.00027,GALAXY ENT,2024-01-19 00:00:00,39.05,38.7,39.55,38.45,0.0,0.0018,7860570,316538924.0,0.6501950585175552,38.45
HK.00027,GALAXY ENT,2024-01-22 00:00:00,38.9,37.0,39.35,36.55,0.0,0.00199,8694047,335961794.0,-4.3927648578811445,38.7
HK.00027,GALAXY ENT,2024-01-23 00:00:00,37.0,37.2,37.8,36.45,0.0,0.00167,7293577,280743415.0,0.5405405405405482,37.0
HK.00027,GALAXY ENT,2024-01-24 00:00:00,37.5,39.0,39.2,37.5,0.0,0.00148,6464294,257240424.0,4.838709677419347,37.2
HK.00027,GALAXY ENT,2024-01-25 00:00:00,39.0,39.3,39.7,38.35,0.0,0.00142,6208966,251529123.0,0.769230769230762,39.0
HK.00027,GALAXY ENT,2024-01-26 00:00:00,39.45,40.1,41.1,39.2,0.0,0.00232,10145022,423210083.0,2.0356234096692223,39.3
HK.00027,GALAXY ENT,2024-01-29 00:00:00,40.45,40.4,41.0,40.2,0.0,0.00183,7987712,334333998.0,0.7481296758104666,40.1
HK.00027,GALAXY ENT,2024-01-30 00:00:00,40.2,39.55,40.3,39.3,0.0,0.0019,8290879,339739620.0,-2.1039603960396076,40.4
HK.00027,GALAXY ENT,2024-01-31 00:00:00,39.55,39.3,40.6,39.15,0.0,0.0019,8328012,340035315.0,-0.6321112515802781,39.55
HK.00027,GALAXY ENT,2024-02-01 00:00:00,39.6,41.7,41.85,39.6,0.0,0.00321,14024480,597249144.0,6.106870229007648,39.3
HK.00027,GALAXY ENT,2024-02-02 00:00:00,42.0,42.0,42.6,41.75,0.0,0.00307,13433991,582767079.0,0.7194244604316478,41.7
HK.00027,GALAXY ENT,2024-02-05 00:00:00,41.6,41.8,42.35,41.4,0.0,0.00206,8990803,387542471.0,-0.476190476190483,42.0
HK.00027,GALAXY ENT,2024-02-06 00:00:00,41.8,41.75,42.7,41.5,0.0,0.00332,14529948,629404829.0,-0.11961722488037599,41.8
HK.00027,GALAXY ENT,2024-02-07 00:00:00,42.15,41.65,42.5,41.05,0.0,0.00215,9407390,403921293.0,-0.23952095808383575,41.75
HK.00027,GALAXY ENT,2024-02-08 00:00:00,41.7,41.4,42.15,41.35,0.0,0.00116,5064314,216982950.0,-0.6002400960384154,41.65
HK.00027,GALAXY ENT,2024-02-09 00:00:00,41.4,41.55,42.0,40.5,0.0,0.00106,4637913,197942690.0,0.3623188405797067,41.4
HK.00027,GALAXY ENT,2024-02-14 00:00:00,41.85,43.05,43.45,41.25,0.0,0.00373,16292446,718099507.0,3.6101083032490973,41.55
HK.00027,GALAXY ENT,2024-02-15 00:00:00,42.9,43.2,43.5,42.4,0.0,0.0016,7015560,311857271.0,0.34843205574914216,43.05
HK.00027,GALAXY ENT,2024-02-16 00:00:00,43.2,44.35,44.6,42.95,0.0,0.00253,11046615,502659106.0,2.6620370370370336,43.2
HK.00027,GALAXY ENT,2024-02-19 00:00:00,44.35,42.95,44.4,42.35,0.0,0.00242,10586540,468019283.0,-3.1567080045095794,44.35
HK.00027,GALAXY ENT,2024-02-20 00:00:00,43.0,43.85,44.1,42.7,0.0,0.00288,12611043,563445751.0,2.095459837019787,42.95
HK.00027,GALAXY ENT,2024-02-21 00:00:00,44.05,43.8,44.15,43.45,0.0,0.0024,10516782,474394196.0,-0.11402508551882386,43.85
HK.00027,GALAXY ENT,2024-02-22 00:00:00,43.8,43.0,43.85,42.5,0.0,0.00184,8032990,355934038.0,-1.8264840182648339,43.8
HK.00027,GALAXY ENT,2024-02-23 00:00:00,42.6,42.15,43.3,41.6,0.0,0.00296,12964418,563554088.0,-1.9767441860465151,43.0
HK.00027,GALAXY ENT,2024-02-26 00:00:00,42.15,42.35,42.95,42.15,0.0,0.00111,4846206,212169647.0,0.4744958481613354,42.15
HK.00027,GALAXY ENT,2024-02-27 00:00:00,42.35,41.75,42.4,40.8,0.0,0.00223,9741987,415976645.0,-1.4167650531286928,42.35
HK.00027,GALAXY ENT,2024-02-28 00:00:00,41.6,40.75,42.1,40.5,0.0,0.00294,12874982,545048647.0,-2.3952095808383236,41.75
HK.00027,GALAXY ENT,2024-02-29 00:00:00,40.9,41.45,42.35,40.9,27.386,0.0031,13568410,582706397.0,1.717791411042952,40.75
HK.00027,GALAXY ENT,2024-03-01 00:00:00,40.7,40.7,42.2,40.6,26.905,0.00262,11468889,487030074.0,-1.80940892641737,41.45
HK.00027,GALAXY ENT,2024-03-04 00:00:00,40.7,38.95,41.1,38.75,25.784,0.0032,13991379,567268034.0,-4.2997542997543,40.7
HK.00027,GALAXY ENT,2024-03-05 00:00:00,38.4,37.7,38.7,37.05,24.983,0.0043,18803983,737035571.0,-3.209242618741977,38.95
HK.00027,GALAXY ENT,2024-03-06 00:00:00,37.7,38.35,38.6,37.7,25.4,0.00211,9223895,364684022.0,1.7241379310344789,37.7
HK.00027,GALAXY ENT,2024-03-07 00:00:00,38.4,38.45,39.0,38.25,25.464,0.00197,8610090,343546651.0,0.26075619295958646,38.35
HK.00027,GALAXY ENT,2024-03-08 00:00:00,38.45,37.75,38.9,37.55,25.016,0.00236,10339820,404665281.0,-1.820546163849162,38.45
HK.00027,GALAXY ENT,2024-03-11 00:00:00,37.7,38.1,38.5,37.7,25.24,0.00214,9348150,367614340.0,0.9271523178807984,37.75
HK.00027,GALAXY ENT,2024-03-12 00:00:00,38.35,39.3,39.35,37.9,26.008,0.00231,10123493,406590356.0,3.1496062992125875,38.1
HK.00027,GALAXY ENT,2024-03-13 00:00:00,39.3,39.75,40.05,39.15,26.297,0.00178,7795121,319636936.0,1.1450381679389385,39.3
HK.00027,GALAXY ENT,2024-03-14 00:00:00,39.75,39.6,40.25,39.25,26.201,0.0014,6140929,251821151.0,-0.37735849056603415,39.75
HK.00027,GALAXY ENT,2024-03-15 00:00:00,39.25,38.95,39.35,38.55,25.784,0.00186,8143675,327164268.0,-1.6414141414141377,39.6
HK.00027,GALAXY ENT,2024-03-18 00:00:00,38.75,38.7,39.15,38.6,25.624,0.00122,5341833,214058449.0,-0.6418485237483953,38.95
HK.00027,GALAXY ENT,2024-03-19 00:00:00,38.25,38.45,38.8,38.0,25.464,0.00151,6625170,263403534.0,-0.6459948320413437,38.7
HK.00027,GALAXY ENT,2024-03-20 00:00:00,38.55,38.0,38.55,38.0,25.176,0.00187,8160728,322398363.0,-1.170351105331607,38.45
HK.00027,GALAXY ENT,2024-03-21 00:00:00,38.5,39.5,39.8,38.5,26.137,0.00183,8009974,326042152.0,3.9473684210526314,38.0
HK.00027,GALAXY ENT,2024-03-22 00:00:00,39.4,38.75,39.75,38.55,25.464,0.00251,10962712,436708490.0,-1.89873417721519,39.5
HK.00027,GALAXY ENT,2024-03-25 00:00:00,39.1,38.45,39.3,38.4,25.272,0.00183,8001847,316615079.0,-0.7741935483870894,38.75
HK.00027,GALAXY ENT,2024-03-26 00:00:00,38.9,38.8,39.15,38.4,25.496,0.00207,9043523,359616332.0,0.9102730819245626,38.45
HK.00027,GALAXY ENT,2024-03-27 00:00:00,38.7,38.6,39.2,38.5,25.368,0.0023,10039388,398944793.0,-0.5154639175257623,38.8
HK.00027,GALAXY ENT,2024-03-28 00:00:00,38.55,38.3,38.95,38.2,25.176,0.00192,8397680,331572730.0,-0.7772020725388711,38.6
HK.00027,GALAXY ENT,2024-04-02 00:00:00,39.5,40.0,40.3,39.5,26.265,0.00241,10542159,431013913.0,4.438642297650138,38.3
HK.00027,GALAXY ENT,2024-04-03 00:00:00,40.1,39.6,40.2,39.35,26.008,0.00225,9840389,400675634.0,-0.9999999999999963,40.0
HK.00027,GALAXY ENT,2024-04-05 00:00:00,39.7,39.6,39.75,38.6,26.008,0.00206,8989921,362068167.0,0.0,39.6
HK.00027,GALAXY ENT,2024-04-08 00:00:00,39.6,39.6,39.6,38.4,26.008,0.00214,9380856,376406146.0,0.0,39.6
HK.00027,GALAXY ENT,2024-04-09 00:00:00,39.95,39.85,40.55,39.7,26.169,0.00192,8404566,343879062.0,0.6313131313131313,39.6
HK.00027,GALAXY ENT,2024-04-10 00:00:00,40.3,39.9,40.3,39.2,26.201,0.00193,8461019,344539972.0,0.125470514429102,39.85
HK.00027,GALAXY ENT,2024-04-11 00:00:00,39.2,39.6,39.6,38.9,26.008,0.00178,7766188,312955413.0,-0.7518796992481133,39.9
HK.00027,GALAXY ENT,2024-04-12 00:00:00,39.45,38.8,39.6,38.7,25.496,0.00176,7683132,306968324.0,-2.020202020202031,39.6
HK.00027,GALAXY ENT,2024-04-15 00:00:00,38.15,37.7,38.25,37.15,24.791,0.00347,15190479,589337695.0,-2.835051546391738,38.8
HK.00027,GALAXY ENT,2024-04-16 00:00:00,37.5,35.8,37.5,35.6,23.574,0.00435,19027284,710390414.0,-5.039787798408503,37.7
HK.00027,GALAXY ENT,2024-04-17 00:00:00,35.25,33.2,35.5,32.7,21.909,0.00818,35754108,1240228565.0,-7.262569832402218,35.8
HK.00027,GALAXY ENT,2024-04-18 00:00:00,33.2,33.049999999,34.4,33.049999999,21.812,0.00513,22449959,775770357.0,-0.4518072319277175,33.2
HK.00027,GALAXY ENT,2024-04-19 00:00:00,32.75,32.65,33.15,32.35,21.556,0.00478,20907094,705299221.0,-1.2102874402786834,33.049999999
HK.00027,GALAXY ENT,2024-04-22 00:00:00,33.2,33.55,34.15,33.1,22.133,0.00333,14550991,502362197.0,2.7565084226646204,32.65
HK.00027,GALAXY ENT,2024-04-23 00:00:00,34.0,33.9,34.3,33.6,22.357,0.00214,9374853,326931105.0,1.0432190760059654,33.55
HK.00027,GALAXY ENT,2024-04-24 00:00:00,34.25,34.0,34.55,33.9,22.421,0.00272,11912846,419292217.0,0.29498525073746734,33.9
HK.00027,GALAXY ENT,2024-04-25 00:00:00,34.0,34.05,34.5,33.049999999,22.453,0.00231,10119294,353613906.0,0.14705882352940342,34.0
HK.00027,GALAXY ENT,2024-04-26 00:00:00,34.05,34.6,34.85,33.65,22.805,0.00419,18330981,649741088.0,1.6152716593245353,34.05
HK.00027,GALAXY ENT,2024-04-29 00:00:00,35.5,35.0,36.3,34.6,23.062,0.00763,33365644,1218950057.0,1.1560693641618456,34.6
HK.00027,GALAXY ENT,2024-04-30 00:00:00,35.1,34.45,35.6,34.35,22.709,0.00329,14410571,517425767.0,-1.5714285714285632,35.0
HK.00027,GALAXY ENT,2024-05-02 00:00:00,34.1,35.2,35.3,33.85,23.19,0.00397,17380921,625738597.0,2.1770682148040637,34.45
HK.00027,GALAXY ENT,2024-05-03 00:00:00,36.0,36.5,37.05,35.95,24.023,0.00475,20758104,777572336.0,3.69318181818181,35.2
HK.00027,GALAXY ENT,2024-05-06 00:00:00,36.05,36.45,36.55,35.4,23.991,0.00325,14201271,526719819.0,-0.13698630136985523,36.5
HK.00027,GALAXY ENT,2024-05-07 00:00:00,36.4,36.2,36.45,35.65,23.83,0.00322,14077759,522120108.0,-0.6858710562414266,36.45
HK.00027,GALAXY ENT,2024-05-08 00:00:00,36.25,35.85,36.7,35.75,23.606,0.0023,10059636,372519002.0,-0.9668508287292855,36.2
HK.00027,GALAXY ENT,2024-05-09 00:00:00,35.85,36.05,36.25,35.6,23.734,0.00221,9663397,357877406.0,0.5578800557879937,35.85
HK.00027,GALAXY ENT,2024-05-10 00:00:00,36.15,36.3,36.5,35.65,23.894,0.00193,8449943,313643328.0,0.6934812760055479,36.05
HK.00027,GALAXY ENT,2024-05-13 00:00:00,36.0,37.3,37.4,35.55,24.535,0.00328,14363585,544958256.0,2.7548209366391188,36.3
HK.00027,GALAXY ENT,2024-05-14 00:00:00,37.25,35.8,37.3,35.7,23.574,0.0051,22299375,828633337.0,-4.021447721179626,37.3
HK.00027,GALAXY ENT,2024-05-16 00:00:00,37.0,38.15,38.25,36.7,25.08,0.00656,28688158,1107606399.0,6.56424581005587,35.8
HK.00027,GALAXY ENT,2024-05-17 00:00:00,38.2,38.9,39.5,38.0,25.56,0.00494,21618956,861391511.0,1.9659239842726082,38.15
HK.00027,GALAXY ENT,2024-05-20 00:00:00,39.5,40.25,40.9,39.4,26.425,0.00644,28149240,1166878500.0,3.4704370179948625,38.9
